KO_ID	KO_name	KO_def
K00134	GAPDH, gapA	glyceraldehyde 3-phosphate dehydrogenase
K00135	gabD	succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase
K00137	prr	aminobutyraldehyde dehydrogenase
K00138	aldB	aldehyde dehydrogenase
K00140	mmsA, iolA, ALDH6A1	malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase
K00141	xylC	benzaldehyde dehydrogenase (NAD)
K00143	LYS2	L-2-aminoadipate reductase
K00145	argC	N-acetyl-gamma-glutamyl-phosphate reductase
K00146	feaB	phenylacetaldehyde dehydrogenase
K00147	proA	glutamate-5-semialdehyde dehydrogenase
K00148	fdhA	glutathione-independent formaldehyde dehydrogenase
K00149	ALDH9A1	aldehyde dehydrogenase family 9 member A1
K00150	gap2	glyceraldehyde-3-phosphate dehydrogenase (NAD(P))
K00151	hpaE, hpcC	5-carboxymethyl-2-hydroxymuconic-semialdehyde dehydrogenase
K00153	E1.1.1.306	S-(hydroxymethyl)mycothiol dehydrogenase
K00154	E1.2.1.68	coniferyl-aldehyde dehydrogenase
K00156	poxB	pyruvate dehydrogenase (quinone)
K00158	E1.2.3.3, poxL	pyruvate oxidase
K00161	PDHA, pdhA	pyruvate dehydrogenase E1 component alpha subunit
K00162	PDHB, pdhB	pyruvate dehydrogenase E1 component beta subunit
K00163	aceE	pyruvate dehydrogenase E1 component
K00164	OGDH, sucA	2-oxoglutarate dehydrogenase E1 component
K00166	BCKDHA, bkdA1	2-oxoisovalerate dehydrogenase E1 component alpha subunit
K00167	BCKDHB, bkdA2	2-oxoisovalerate dehydrogenase E1 component beta subunit
K00169	porA	pyruvate ferredoxin oxidoreductase alpha subunit
K00170	porB	pyruvate ferredoxin oxidoreductase beta subunit
K00171	porD	pyruvate ferredoxin oxidoreductase delta subunit
K00172	porC, porG	pyruvate ferredoxin oxidoreductase gamma subunit
K00174	korA, oorA, oforA	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha
K00175	korB, oorB, oforB	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta
K00176	korD, oorD	2-oxoglutarate ferredoxin oxidoreductase subunit delta
K00177	korC, oorC	2-oxoglutarate ferredoxin oxidoreductase subunit gamma
K00179	iorA	indolepyruvate ferredoxin oxidoreductase, alpha subunit
K00180	iorB	indolepyruvate ferredoxin oxidoreductase, beta subunit
K00187	vorB	2-oxoisovalerate ferredoxin oxidoreductase beta subunit
K00196	cooF	anaerobic carbon-monoxide dehydrogenase iron sulfur subunit
K00200	fwdA, fmdA	formylmethanofuran dehydrogenase subunit A
K00201	fwdB, fmdB	formylmethanofuran dehydrogenase subunit B
K00202	fwdC, fmdC	formylmethanofuran dehydrogenase subunit C
K00203	fwdD, fmdD	formylmethanofuran dehydrogenase subunit D
K00206	phnY	phosphonoacetaldehyde dehydrogenase
K00207	DPYD	dihydropyrimidine dehydrogenase (NADP+)
K00208	fabI	enoyl-[acyl-carrier protein] reductase I
K00209	fabV, ter	enoyl-[acyl-carrier protein] reductase / trans-2-enoyl-CoA reductase (NAD+)
K00213	DHCR7	7-dehydrocholesterol reductase
K00214	BLVRA, bvdR	biliverdin reductase
K00215	dapB	4-hydroxy-tetrahydrodipicolinate reductase
K00216	entA	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase
K00217	E1.3.1.32	maleylacetate reductase
K00219	fadH	2,4-dienoyl-CoA reductase (NADPH2)
K00220	tyrC	cyclohexadieny/prephenate dehydrogenase
K00221	E4.99.1.2	alkylmercury lyase
K00222	TM7SF2, ERG24	Delta14-sterol reductase
K00223	ERG4	Delta24(24(1))-sterol reductase
K00224	CEQORH	chloroplastic oxoene reductase
K00226	pyrD	dihydroorotate dehydrogenase (fumarate)
K00227	SC5DL, ERG3	Delta7-sterol 5-desaturase
K00228	CPOX, hemF	coproporphyrinogen III oxidase
K00230	hemG	menaquinone-dependent protoporphyrinogen oxidase
K00231	PPOX, hemY	protoporphyrinogen/coproporphyrinogen III oxidase
K00232	E1.3.3.6, ACOX1, ACOX3	acyl-CoA oxidase
K00234	SDHA, SDH1	succinate dehydrogenase (ubiquinone) flavoprotein subunit
K00235	SDHB, SDH2	succinate dehydrogenase (ubiquinone) iron-sulfur subunit
K00236	SDHC, SDH3	succinate dehydrogenase (ubiquinone) cytochrome b560 subunit
K00239	sdhA, frdA	succinate dehydrogenase / fumarate reductase, flavoprotein subunit
K00240	sdhB, frdB	succinate dehydrogenase / fumarate reductase, iron-sulfur subunit
K00241	sdhC, frdC	succinate dehydrogenase / fumarate reductase, cytochrome b subunit
K00242	sdhD, frdD	succinate dehydrogenase / fumarate reductase, membrane anchor subunit
K00243	K00243	uncharacterized protein
K00245	frdB	fumarate reductase iron-sulfur subunit
K00246	frdC	fumarate reductase subunit C
K00247	frdD	fumarate reductase subunit D
K00248	ACADS, bcd	butyryl-CoA dehydrogenase
K00249	ACADM, acd	acyl-CoA dehydrogenase
K00252	GCDH, gcdH	glutaryl-CoA dehydrogenase
K00253	IVD, ivd	isovaleryl-CoA dehydrogenase
K00254	DHODH, pyrD	dihydroorotate dehydrogenase
K00255	ACADL	long-chain-acyl-CoA dehydrogenase
K00259	ald	alanine dehydrogenase
K00260	gudB, rocG	glutamate dehydrogenase
K00261	GLUD1_2, gdhA	glutamate dehydrogenase (NAD(P)+)
K00262	E1.4.1.4, gdhA	glutamate dehydrogenase (NADP+)
K00263	E1.4.1.9	leucine dehydrogenase
K00265	gltB	glutamate synthase (NADPH) large chain
K00266	gltD	glutamate synthase (NADPH) small chain
K00271	vdh	valine dehydrogenase (NAD+)
K00273	DAO, aao	D-amino-acid oxidase
K00274	MAO, aofH	monoamine oxidase
K00275	pdxH, PNPO	pyridoxamine 5'-phosphate oxidase
K00276	AOC3, AOC2, tynA	primary-amine oxidase
K00278	nadB	L-aspartate oxidase
K00279	CKX	cytokinin dehydrogenase
K00281	GLDC, gcvP	glycine dehydrogenase
K00282	gcvPA	glycine dehydrogenase subunit 1
K00283	gcvPB	glycine dehydrogenase subunit 2
K00284	GLU, gltS	glutamate synthase (ferredoxin)
K00285	dadA	D-amino-acid dehydrogenase
K00286	proC	pyrroline-5-carboxylate reductase
K00287	DHFR, folA	dihydrofolate reductase
K00288	MTHFD	methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase / formyltetrahydrofolate synthetase
K00290	LYS1	saccharopine dehydrogenase (NAD+, L-lysine forming)
K00294	E1.2.1.88	1-pyrroline-5-carboxylate dehydrogenase
K00295	MTD1	methylenetetrahydrofolate dehydrogenase (NAD+)
K00297	metF, MTHFR	methylenetetrahydrofolate reductase (NADPH)
K00298	ceo	N5-(carboxyethyl)ornithine synthase
K00299	ssuE	FMN reductase
K00300	mtdA	methylenetetrahydrofolate/methylenetetrahydromethanopterin dehydrogenase (NADP+)
K00301	E1.5.3.1	sarcosine oxidase
K00302	soxA	sarcosine oxidase, subunit alpha
K00303	soxB	sarcosine oxidase, subunit beta
K00304	soxD	sarcosine oxidase, subunit delta
K00305	soxG	sarcosine oxidase, subunit gamma
K00306	PIPOX	sarcosine oxidase / L-pipecolate oxidase
K00307	BBE1	reticuline oxidase
K00309	dmg	dimethylglycine oxidase
K00311	ETFDH	electron-transferring-flavoprotein dehydrogenase
K00313	fixC	electron transfer flavoprotein-quinone oxidoreductase
K00314	SARDH	sarcosine dehydrogenase
K00315	DMGDH	dimethylglycine dehydrogenase
K00316	spdH	spermidine dehydrogenase
K00317	dmd-tmd	dimethylamine/trimethylamine dehydrogenase
K00318	PRODH, fadM, putB	proline dehydrogenase
K00319	mtd	methylenetetrahydromethanopterin dehydrogenase
K00320	mer	5,10-methylenetetrahydromethanopterin reductase
K00322	sthA, udhA	NAD(P) transhydrogenase
K00323	NNT	H+-translocating NAD(P) transhydrogenase
K00324	pntA	H+-translocating NAD(P) transhydrogenase subunit alpha
K00325	pntB	H+-translocating NAD(P) transhydrogenase subunit beta
K00326	E1.6.2.2	cytochrome-b5 reductase
K00327	POR	NADPH-ferrihemoprotein reductase
K00330	nuoA	NADH-quinone oxidoreductase subunit A
K00331	nuoB	NADH-quinone oxidoreductase subunit B
K00332	nuoC	NADH-quinone oxidoreductase subunit C
K00333	nuoD	NADH-quinone oxidoreductase subunit D
K00334	nuoE	NADH-quinone oxidoreductase subunit E
K00335	nuoF	NADH-quinone oxidoreductase subunit F
K00336	nuoG	NADH-quinone oxidoreductase subunit G
K00337	nuoH	NADH-quinone oxidoreductase subunit H
K00338	nuoI	NADH-quinone oxidoreductase subunit I
K00339	nuoJ	NADH-quinone oxidoreductase subunit J
K00340	nuoK	NADH-quinone oxidoreductase subunit K
K00341	nuoL	NADH-quinone oxidoreductase subunit L
K00342	nuoM	NADH-quinone oxidoreductase subunit M
K00343	nuoN	NADH-quinone oxidoreductase subunit N
K00344	qor, CRYZ	NADPH:quinone reductase
K00346	nqrA	Na+-transporting NADH:ubiquinone oxidoreductase subunit A
K00347	nqrB	Na+-transporting NADH:ubiquinone oxidoreductase subunit B
K00348	nqrC	Na+-transporting NADH:ubiquinone oxidoreductase subunit C
K00349	nqrD	Na+-transporting NADH:ubiquinone oxidoreductase subunit D
K00350	nqrE	Na+-transporting NADH:ubiquinone oxidoreductase subunit E
K00351	nqrF	Na+-transporting NADH:ubiquinone oxidoreductase subunit F
K00354	E1.6.99.1	NADPH2 dehydrogenase
K00355	NQO1	NAD(P)H dehydrogenase (quinone)
K00359	qorA	NADPH:quinone reductase
K00360	nasB	assimilatory nitrate reductase electron transfer subunit
K00362	nirB	nitrite reductase (NADH) large subunit
K00363	nirD	nitrite reductase (NADH) small subunit
K00364	E1.7.1.7, guaC	GMP reductase
K00365	uaZ	urate oxidase
K00366	nirA	ferredoxin-nitrite reductase
K00367	narB	ferredoxin-nitrate reductase
K00368	nirK	nitrite reductase (NO-forming)
K00370	narG, narZ, nxrA	nitrate reductase / nitrite oxidoreductase, alpha subunit
K00371	narH, narY, nxrB	nitrate reductase / nitrite oxidoreductase, beta subunit
K00372	nasA	assimilatory nitrate reductase catalytic subunit
K00373	narJ, narW	nitrate reductase molybdenum cofactor assembly chaperone NarJ/NarW
K00374	narI, narV	nitrate reductase gamma subunit
K00375	K00375	GntR family transcriptional regulator / MocR family aminotransferase
K00376	nosZ	nitrous-oxide reductase
K00380	cysJ	sulfite reductase (NADPH) flavoprotein alpha-component
K00381	cysI	sulfite reductase (NADPH) hemoprotein beta-component
K00382	DLD, lpd, pdhD	dihydrolipoamide dehydrogenase
K00383	GSR, gor	glutathione reductase (NADPH)
K00384	trxB, TRR	thioredoxin reductase (NADPH)
K00386	sorB	sulfite dehydrogenase (cytochrome) subunit B
K00387	SUOX	sulfite oxidase
K00389	yidH	putative membrane protein
K00390	cysH	phosphoadenosine phosphosulfate reductase
K00392	sir	sulfite reductase (ferredoxin)
K00394	aprA	adenylylsulfate reductase, subunit A
K00395	aprB	adenylylsulfate reductase, subunit B
K00404	ccoN	cytochrome c oxidase cbb3-type subunit I
K00405	ccoO	cytochrome c oxidase cbb3-type subunit II
K00406	ccoP	cytochrome c oxidase cbb3-type subunit III
K00407	ccoQ	cytochrome c oxidase cbb3-type subunit IV
K00410	fbcH	ubiquinol-cytochrome c reductase cytochrome b/c1 subunit
K00411	UQCRFS1, RIP1, petA	ubiquinol-cytochrome c reductase iron-sulfur subunit
K00412	CYTB, petB	ubiquinol-cytochrome c reductase cytochrome b subunit
K00413	CYC1, CYT1, petC	ubiquinol-cytochrome c reductase cytochrome c1 subunit
K00422	E1.10.3.1	polyphenol oxidase
K00424	cydX	cytochrome bd-I ubiquinol oxidase subunit X
K00425	cydA	cytochrome bd ubiquinol oxidase subunit I
K00426	cydB	cytochrome bd ubiquinol oxidase subunit II
K00428	E1.11.1.5	cytochrome c peroxidase
K00432	gpx, btuE, bsaA	glutathione peroxidase
K00433	cpo	non-heme chloroperoxidase
K00435	hemQ	hydrogen peroxide-dependent heme synthase
K00436	hoxH	NAD-reducing hydrogenase large subunit
K00441	frhB	coenzyme F420 hydrogenase subunit beta
K00446	dmpB, xylE	catechol 2,3-dioxygenase
K00448	pcaG	protocatechuate 3,4-dioxygenase, alpha subunit
K00449	pcaH	protocatechuate 3,4-dioxygenase, beta subunit
K00450	E1.13.11.4	gentisate 1,2-dioxygenase
K00451	HGD, hmgA	homogentisate 1,2-dioxygenase
K00452	HAAO	3-hydroxyanthranilate 3,4-dioxygenase
K00453	TDO2, kynA	tryptophan 2,3-dioxygenase
K00455	hpaD, hpcB	3,4-dihydroxyphenylacetate 2,3-dioxygenase
K00456	CDO1	cysteine dioxygenase
K00457	HPD, hppD	4-hydroxyphenylpyruvate dioxygenase
K00459	ncd2, npd	nitronate monooxygenase
K00463	IDO, INDO	indoleamine 2,3-dioxygenase
K00464	diox1	all-trans-8'-apo-beta-carotenal 15,15'-oxygenase
K00467	E1.13.12.4	lactate 2-monooxygenase
K00468	davB	lysine 2-monooxygenase
K00469	MIOX	inositol oxygenase
K00471	BBOX1	gamma-butyrobetaine dioxygenase
K00472	P4HA	prolyl 4-hydroxylase
K00476	ASPH	aspartate beta-hydroxylase
K00477	PHYH	phytanoyl-CoA hydroxylase
K00479	gbcA	glycine betaine catabolism A
K00480	E1.14.13.1	salicylate hydroxylase
K00481	pobA	p-hydroxybenzoate 3-monooxygenase
K00483	hpaB	4-hydroxyphenylacetate 3-monooxygenase
K00485	FMO	dimethylaniline monooxygenase (N-oxide forming)
K00486	KMO	kynurenine 3-monooxygenase
K00491	nos	nitric-oxide synthase, bacterial
K00492	tmuM	1,3,7-trimethyluric acid 5-monooxygenase
K00496	alkB1_2, alkM	alkane 1-monooxygenase
K00499	CMO	choline monooxygenase
K00500	phhA, PAH	phenylalanine-4-hydroxylase
K00505	TYR	tyrosinase
K00507	SCD, desC	stearoyl-CoA desaturase (Delta-9 desaturase)
K00508	E1.14.19.3	linoleoyl-CoA desaturase
K00511	SQLE, ERG1	squalene monooxygenase
K00518	sodN	nickel superoxide dismutase
K00520	merA	mercuric reductase
K00523	ascD, ddhD, rfbI	CDP-4-dehydro-6-deoxyglucose reductase, E3
K00525	E1.17.4.1A, nrdA, nrdE	ribonucleoside-diphosphate reductase alpha chain
K00526	E1.17.4.1B, nrdB, nrdF	ribonucleoside-diphosphate reductase beta chain
K00527	rtpR	ribonucleoside-triphosphate reductase (thioredoxin)
K00528	fpr	ferredoxin/flavodoxin---NADP+ reductase
K00529	hcaD	3-phenylpropionate/trans-cinnamate dioxygenase ferredoxin reductase component
K00537	arsC	arsenate reductase (glutaredoxin)
K00540	fqr	F420H(2)-dependent quinone reductase
K00542	GAMT	guanidinoacetate N-methyltransferase
K00543	ASMT	acetylserotonin O-methyltransferase
K00544	BHMT	betaine-homocysteine S-methyltransferase
K00545	COMT	catechol O-methyltransferase
K00547	mmuM, BHMT2	homocysteine S-methyltransferase
K00548	metH, MTR	5-methyltetrahydrofolate--homocysteine methyltransferase
K00549	metE	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase
K00551	PEMT	phosphatidylethanolamine/phosphatidyl-N-methylethanolamine N-methyltransferase
K00554	trmD	tRNA (guanine37-N1)-methyltransferase
K00555	TRMT1, trm1	tRNA (guanine26-N2/guanine27-N2)-dimethyltransferase
K00556	trmH	tRNA (guanosine-2'-O-)-methyltransferase
K00557	trmA	tRNA (uracil-5-)-methyltransferase
K00558	DNMT1, dcm	DNA (cytosine-5)-methyltransferase 1
K00559	SMT1, ERG6	sterol 24-C-methyltransferase
K00560	thyA, TYMS	thymidylate synthase
K00561	ermC, ermA	23S rRNA (adenine-N6)-dimethyltransferase
K00563	rlmA1	23S rRNA (guanine745-N1)-methyltransferase
K00564	rsmC	16S rRNA (guanine1207-N2)-methyltransferase
K00565	RNMT	mRNA (guanine-N7-)-methyltransferase
K00566	mnmA, trmU	tRNA-uridine 2-sulfurtransferase
K00567	ogt, MGMT	methylated-DNA-[protein]-cysteine S-methyltransferase
K00568	ubiG	2-polyprenyl-6-hydroxyphenyl methylase / 3-demethylubiquinone-9 3-methyltransferase
K00569	TPMT, tpmT	thiopurine S-methyltransferase
K00570	pmtA	phosphatidylethanolamine/phosphatidyl-N-methylethanolamine N-methyltransferase
K00571	E2.1.1.72	site-specific DNA-methyltransferase (adenine-specific)
K00573	E2.1.1.77, pcm	protein-L-isoaspartate(D-aspartate) O-methyltransferase
K00574	cfa	cyclopropane-fatty-acyl-phospholipid synthase
K00575	cheR	chemotaxis protein methyltransferase CheR
K00577	mtrA	tetrahydromethanopterin S-methyltransferase subunit A
K00586	DPH5	diphthine methyl ester synthase
K00587	ICMT, STE14	protein-S-isoprenylcysteine O-methyltransferase
K00588	E2.1.1.104	caffeoyl-CoA O-methyltransferase
K00589	MET1	uroporphyrin-III C-methyltransferase
K00591	COQ3	polyprenyldihydroxybenzoate methyltransferase / 3-demethylubiquinol 3-O-methyltransferase
K00594	xyoA, aldO	alditol oxidase
K00595	cobL-cbiET	precorrin-6B C5,15-methyltransferase / cobalt-precorrin-6B C5,C15-methyltransferase
K00596	E4.1.1.64	2,2-dialkylglycine decarboxylase (pyruvate)
K00598	tam	trans-aconitate 2-methyltransferase
K00600	glyA, SHMT	glycine hydroxymethyltransferase
K00601	E2.1.2.2	phosphoribosylglycinamide formyltransferase
K00602	purH	phosphoribosylaminoimidazolecarboxamide formyltransferase / IMP cyclohydrolase
K00603	fctD	glutamate formiminotransferase / 5-formyltetrahydrofolate cyclo-ligase
K00604	MTFMT, fmt	methionyl-tRNA formyltransferase
K00605	gcvT, AMT	aminomethyltransferase
K00606	panB	3-methyl-2-oxobutanoate hydroxymethyltransferase
K00609	pyrB, PYR2	aspartate carbamoyltransferase catalytic subunit
K00610	pyrI	aspartate carbamoyltransferase regulatory subunit
K00611	OTC, argF, argI	ornithine carbamoyltransferase
K00612	nodU	carbamoyltransferase
K00613	GATM	glycine amidinotransferase
K00615	E2.2.1.1, tktA, tktB	transketolase
K00616	E2.2.1.2, talA, talB	transaldolase
K00618	ARG2	amino-acid N-acetyltransferase
K00619	argA	amino-acid N-acetyltransferase
K00620	argJ	glutamate N-acetyltransferase / amino-acid N-acetyltransferase
K00621	GNPNAT1, GNA1	glucosamine-phosphate N-acetyltransferase
K00622	nat	arylamine N-acetyltransferase
K00624	E2.3.1.7	carnitine O-acetyltransferase
K00625	E2.3.1.8, pta	phosphate acetyltransferase
K00626	ACAT, atoB	acetyl-CoA C-acetyltransferase
K00627	DLAT, aceF, pdhC	pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase)
K00630	ATS1	glycerol-3-phosphate O-acyltransferase
K00631	plsB	glycerol-3-phosphate O-acyltransferase
K00632	fadA, fadI	acetyl-CoA acyltransferase
K00635	tgs, wax-dgat	diacylglycerol O-acyltransferase / wax synthase
K00637	SOAT	sterol O-acyltransferase
K00638	catB	chloramphenicol O-acetyltransferase type B
K00639	kbl, GCAT	glycine C-acetyltransferase
K00640	cysE	serine O-acetyltransferase
K00641	metX	homoserine O-acetyltransferase/O-succinyltransferase
K00643	E2.3.1.37, ALAS	5-aminolevulinate synthase
K00645	fabD, MCAT, MCT1	[acyl-carrier-protein] S-malonyltransferase
K00646	pksF	malonyl-ACP decarboxylase
K00647	fabB	3-oxoacyl-[acyl-carrier-protein] synthase I
K00648	fabH	3-oxoacyl-[acyl-carrier-protein] synthase III
K00651	metA	homoserine O-succinyltransferase/O-acetyltransferase
K00652	bioF	8-amino-7-oxononanoate synthase
K00654	SPT	serine palmitoyltransferase
K00655	plsC	1-acyl-sn-glycerol-3-phosphate acyltransferase
K00656	E2.3.1.54, pflD	formate C-acetyltransferase
K00657	speG, SAT	diamine N-acetyltransferase
K00658	DLST, sucB	2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase)
K00661	maa	maltose O-acetyltransferase
K00662	aacC	aminoglycoside 3-N-acetyltransferase
K00663	aacA	aminoglycoside 6'-N-acetyltransferase
K00666	K00666	fatty-acyl-CoA synthase
K00667	FAS2	fatty acid synthase subunit alpha, fungi type
K00668	FAS1	fatty acid synthase subunit beta, fungi type
K00671	NMT	glycylpeptide N-tetradecanoyltransferase
K00672	ftr	formylmethanofuran--tetrahydromethanopterin N-formyltransferase
K00673	astA	arginine N-succinyltransferase
K00674	dapD	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase
K00675	nhoA	N-hydroxyarylamine O-acetyltransferase
K00677	lpxA	UDP-N-acetylglucosamine acyltransferase
K00679	E2.3.1.158	phospholipid:diacylglycerol acyltransferase
K00681	ggt	gamma-glutamyltranspeptidase / glutathione hydrolase
K00682	GGCT	gamma-glutamylcyclotransferase
K00683	QPCT	glutaminyl-peptide cyclotransferase
K00684	aat	leucyl/phenylalanyl-tRNA---protein transferase
K00686	tgl	protein-glutamine gamma-glutamyltransferase
K00688	PYG, glgP	glycogen phosphorylase
K00690	E2.4.1.7	sucrose phosphorylase
K00691	mapA	maltose phosphorylase
K00693	GYS	glycogen synthase
K00694	bcsA	cellulose synthase (UDP-forming)
K00695	SUS	sucrose synthase
K00696	E2.4.1.14	sucrose-phosphate synthase
K00697	otsA	trehalose 6-phosphate synthase
K00698	CHS1	chitin synthase
K00700	GBE1, glgB	1,4-alpha-glucan branching enzyme
K00702	E2.4.1.20	cellobiose phosphorylase
K00703	glgA	starch synthase
K00705	malQ	4-alpha-glucanotransferase
K00706	E2.4.1.34	1,3-beta-glucan synthase
K00710	GALNT	polypeptide N-acetylgalactosaminyltransferase
K00712	tagE	poly(glycerol-phosphate) alpha-glucosyltransferase
K00720	UGCG	ceramide glucosyltransferase
K00721	DPM1	dolichol-phosphate mannosyltransferase
K00728	POMT, pmt	dolichyl-phosphate-mannose-protein mannosyltransferase
K00729	ALG5	dolichyl-phosphate beta-glucosyltransferase
