KO_ID	KO_name	KO_def
K00139	ALDH5A1	succinate-semialdehyde dehydrogenase
K00141	xylC	benzaldehyde dehydrogenase (NAD)
K00146	feaB	phenylacetaldehyde dehydrogenase
K00148	fdhA	glutathione-independent formaldehyde dehydrogenase
K00149	ALDH9A1	aldehyde dehydrogenase family 9 member A1
K00150	gap2	glyceraldehyde-3-phosphate dehydrogenase (NAD(P))
K00151	hpaE, hpcC	5-carboxymethyl-2-hydroxymuconic-semialdehyde dehydrogenase
K00152	nahF	salicylaldehyde dehydrogenase
K00157	AOX	aldehyde oxidase
K00161	PDHA, pdhA	pyruvate dehydrogenase E1 component alpha subunit
K00162	PDHB, pdhB	pyruvate dehydrogenase E1 component beta subunit
K00163	aceE	pyruvate dehydrogenase E1 component
K00164	OGDH, sucA	2-oxoglutarate dehydrogenase E1 component
K00169	porA	pyruvate ferredoxin oxidoreductase alpha subunit
K00170	porB	pyruvate ferredoxin oxidoreductase beta subunit
K00171	porD	pyruvate ferredoxin oxidoreductase delta subunit
K00172	porC, porG	pyruvate ferredoxin oxidoreductase gamma subunit
K00174	korA, oorA, oforA	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha
K00175	korB, oorB, oforB	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta
K00176	korD, oorD	2-oxoglutarate ferredoxin oxidoreductase subunit delta
K00177	korC, oorC	2-oxoglutarate ferredoxin oxidoreductase subunit gamma
K00189	vorG, porG	2-oxoisovalerate/pyruvate ferredoxin oxidoreductase gamma subunit
K00192	cdhA	anaerobic carbon-monoxide dehydrogenase, CODH/ACS complex subunit alpha
K00193	cdhC	acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit beta
K00194	cdhD, acsD	acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit delta
K00195	cdhB	anaerobic carbon-monoxide dehydrogenase, CODH/ACS complex subunit epsilon
K00196	cooF	anaerobic carbon-monoxide dehydrogenase iron sulfur subunit
K00197	cdhE, acsC	acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit gamma
K00198	cooS, acsA	anaerobic carbon-monoxide dehydrogenase catalytic subunit
K00200	fwdA, fmdA	formylmethanofuran dehydrogenase subunit A
K00201	fwdB, fmdB	formylmethanofuran dehydrogenase subunit B
K00202	fwdC, fmdC	formylmethanofuran dehydrogenase subunit C
K00203	fwdD, fmdD	formylmethanofuran dehydrogenase subunit D
K00204	fwdH	4Fe-4S ferredoxin
K00205	fwdF, fmdF	4Fe-4S ferredoxin
K00206	phnY	phosphonoacetaldehyde dehydrogenase
K00209	fabV, ter	enoyl-[acyl-carrier protein] reductase / trans-2-enoyl-CoA reductase (NAD+)
K00215	dapB	4-hydroxy-tetrahydrodipicolinate reductase
K00217	E1.3.1.32	maleylacetate reductase
K00234	SDHA, SDH1	succinate dehydrogenase (ubiquinone) flavoprotein subunit
K00235	SDHB, SDH2	succinate dehydrogenase (ubiquinone) iron-sulfur subunit
K00236	SDHC, SDH3	succinate dehydrogenase (ubiquinone) cytochrome b560 subunit
K00237	SDHD, SDH4	succinate dehydrogenase (ubiquinone) membrane anchor subunit
K00239	sdhA, frdA	succinate dehydrogenase / fumarate reductase, flavoprotein subunit
K00240	sdhB, frdB	succinate dehydrogenase / fumarate reductase, iron-sulfur subunit
K00241	sdhC, frdC	succinate dehydrogenase / fumarate reductase, cytochrome b subunit
K00242	sdhD, frdD	succinate dehydrogenase / fumarate reductase, membrane anchor subunit
K00244	frdA	fumarate reductase flavoprotein subunit
K00245	frdB	fumarate reductase iron-sulfur subunit
K00246	frdC	fumarate reductase subunit C
K00247	frdD	fumarate reductase subunit D
K00248	ACADS, bcd	butyryl-CoA dehydrogenase
K00252	GCDH, gcdH	glutaryl-CoA dehydrogenase
K00260	gudB, rocG	glutamate dehydrogenase
K00261	GLUD1_2, gdhA	glutamate dehydrogenase (NAD(P)+)
K00262	E1.4.1.4, gdhA	glutamate dehydrogenase (NADP+)
K00264	GLT1	glutamate synthase (NADH)
K00265	gltB	glutamate synthase (NADPH) large chain
K00266	gltD	glutamate synthase (NADPH) small chain
K00275	pdxH, PNPO	pyridoxamine 5'-phosphate oxidase
K00284	GLU, gltS	glutamate synthase (ferredoxin)
K00288	MTHFD	methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase / formyltetrahydrofolate synthetase
K00297	metF, MTHFR	methylenetetrahydrofolate reductase (NADPH)
K00300	mtdA	methylenetetrahydrofolate/methylenetetrahydromethanopterin dehydrogenase (NADP+)
K00317	dmd-tmd	dimethylamine/trimethylamine dehydrogenase
K00319	mtd	methylenetetrahydromethanopterin dehydrogenase
K00320	mer	5,10-methylenetetrahydromethanopterin reductase
K00360	nasB	assimilatory nitrate reductase electron transfer subunit
K00362	nirB	nitrite reductase (NADH) large subunit
K00363	nirD	nitrite reductase (NADH) small subunit
K00365	uaZ	urate oxidase
K00366	nirA	ferredoxin-nitrite reductase
K00367	narB	ferredoxin-nitrate reductase
K00368	nirK	nitrite reductase (NO-forming)
K00370	narG, narZ, nxrA	nitrate reductase / nitrite oxidoreductase, alpha subunit
K00371	narH, narY, nxrB	nitrate reductase / nitrite oxidoreductase, beta subunit
K00372	nasA	assimilatory nitrate reductase catalytic subunit
K00374	narI, narV	nitrate reductase gamma subunit
K00376	nosZ	nitrous-oxide reductase
K00380	cysJ	sulfite reductase (NADPH) flavoprotein alpha-component
K00381	cysI	sulfite reductase (NADPH) hemoprotein beta-component
K00382	DLD, lpd, pdhD	dihydrolipoamide dehydrogenase
K00385	asrC	anaerobic sulfite reductase subunit C
K00386	sorB	sulfite dehydrogenase (cytochrome) subunit B
K00387	SUOX	sulfite oxidase
K00390	cysH	phosphoadenosine phosphosulfate reductase
K00392	sir	sulfite reductase (ferredoxin)
K00394	aprA	adenylylsulfate reductase, subunit A
K00395	aprB	adenylylsulfate reductase, subunit B
K00399	mcrA	methyl-coenzyme M reductase alpha subunit
K00400	K00400	methyl coenzyme M reductase system, component A2
K00401	mcrB	methyl-coenzyme M reductase beta subunit
K00402	mcrG	methyl-coenzyme M reductase gamma subunit
K00440	frhA	coenzyme F420 hydrogenase subunit alpha
K00441	frhB	coenzyme F420 hydrogenase subunit beta
K00442	frhD	coenzyme F420 hydrogenase subunit delta
K00443	frhG	coenzyme F420 hydrogenase subunit gamma
K00446	dmpB, xylE	catechol 2,3-dioxygenase
K00448	pcaG	protocatechuate 3,4-dioxygenase, alpha subunit
K00449	pcaH	protocatechuate 3,4-dioxygenase, beta subunit
K00450	E1.13.11.4	gentisate 1,2-dioxygenase
K00451	HGD, hmgA	homogentisate 1,2-dioxygenase
K00455	hpaD, hpcB	3,4-dihydroxyphenylacetate 2,3-dioxygenase
K00462	bphC	biphenyl-2,3-diol 1,2-dioxygenase
K00468	davB	lysine 2-monooxygenase
K00480	E1.14.13.1	salicylate hydroxylase
K00481	pobA	p-hydroxybenzoate 3-monooxygenase
K00483	hpaB	4-hydroxyphenylacetate 3-monooxygenase
K00484	hpaC	flavin reductase (NADH)
K00492	tmuM	1,3,7-trimethyluric acid 5-monooxygenase
K00493	XANG	xanthocillin biosynthesis cytochrome P450 monooxygenase
K00529	hcaD	3-phenylpropionate/trans-cinnamate dioxygenase ferredoxin reductase component
K00531	anfG	nitrogenase delta subunit
K00577	mtrA	tetrahydromethanopterin S-methyltransferase subunit A
K00578	mtrB	tetrahydromethanopterin S-methyltransferase subunit B
K00579	mtrC	tetrahydromethanopterin S-methyltransferase subunit C
K00580	mtrD	tetrahydromethanopterin S-methyltransferase subunit D
K00581	mtrE	tetrahydromethanopterin S-methyltransferase subunit E
K00582	mtrF	tetrahydromethanopterin S-methyltransferase subunit F
K00583	mtrG	tetrahydromethanopterin S-methyltransferase subunit G
K00584	mtrH	tetrahydromethanopterin S-methyltransferase subunit H
K00589	MET1	uroporphyrin-III C-methyltransferase
K00600	glyA, SHMT	glycine hydroxymethyltransferase
K00615	E2.2.1.1, tktA, tktB	transketolase
K00616	E2.2.1.2, talA, talB	transaldolase
K00622	nat	arylamine N-acetyltransferase
K00625	E2.3.1.8, pta	phosphate acetyltransferase
K00626	ACAT, atoB	acetyl-CoA C-acetyltransferase
K00627	DLAT, aceF, pdhC	pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase)
K00632	fadA, fadI	acetyl-CoA acyltransferase
K00640	cysE	serine O-acetyltransferase
K00656	E2.3.1.54, pflD	formate C-acetyltransferase
K00658	DLST, sucB	2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase)
K00672	ftr	formylmethanofuran--tetrahydromethanopterin N-formyltransferase
K00674	dapD	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase
K00814	GPT, ALT	alanine transaminase
K00821	argD	acetylornithine/N-succinyldiaminopimelate aminotransferase
K00823	puuE	4-aminobutyrate aminotransferase
K00830	AGXT	alanine-glyoxylate transaminase / serine-glyoxylate transaminase / serine-pyruvate transaminase
K00831	serC, PSAT1	phosphoserine aminotransferase
K00836	ectB, dat	diaminobutyrate-2-oxoglutarate transaminase
K00844	HK	hexokinase
K00845	glk	glucokinase
K00846	KHK	ketohexokinase
K00848	rhaB	rhamnulokinase
K00850	pfkA, PFK	6-phosphofructokinase 1
K00851	E2.7.1.12, gntK, idnK	gluconokinase
K00855	PRK, prkB	phosphoribulokinase
K00860	cysC	adenylylsulfate kinase
K00863	DAK, TKFC	triose/dihydroxyacetone kinase / FAD-AMP lyase (cyclizing)
K00865	glxK, garK	glycerate 2-kinase
K00872	thrB	homoserine kinase
K00873	PK, pyk	pyruvate kinase
K00874	kdgK	2-dehydro-3-deoxygluconokinase
K00879	fucK	L-fuculokinase
K00881	alsK	allose kinase
K00886	ppgK	polyphosphate glucokinase
K00895	pfp, PFP	diphosphate-dependent phosphofructokinase
K00918	pfkC	ADP-dependent phosphofructokinase/glucokinase
K00925	ackA	acetate kinase
K00926	arcC	carbamate kinase
K00927	PGK, pgk	phosphoglycerate kinase
K00928	lysC	aspartate kinase
K00948	PRPS, prsA	ribose-phosphate pyrophosphokinase
K00955	cysNC	bifunctional enzyme CysN/CysC
K00956	cysN	sulfate adenylyltransferase subunit 1
K00957	cysD	sulfate adenylyltransferase subunit 2
K00958	sat, met3	sulfate adenylyltransferase
K00988	APA1_2	sulfate adenylyltransferase (ADP) / ATP adenylyltransferase
K01006	ppdK	pyruvate, orthophosphate dikinase
K01007	pps, ppsA	pyruvate, water dikinase
K01011	TST, MPST, sseA	thiosulfate/3-mercaptopyruvate sulfurtransferase
K01026	pct	propionate CoA-transferase
K01031	pcaI	3-oxoadipate CoA-transferase, alpha subunit
K01032	pcaJ	3-oxoadipate CoA-transferase, beta subunit
K01034	atoD	acetate CoA/acetoacetate CoA-transferase alpha subunit
K01035	atoA	acetate CoA/acetoacetate CoA-transferase beta subunit
K01039	gctA	glutaconate CoA-transferase, subunit A
K01040	gctB	glutaconate CoA-transferase, subunit B
K01053	gnl, RGN	gluconolactonase
K01055	pcaD	3-oxoadipate enol-lactonase
K01057	PGLS, pgl, devB	6-phosphogluconolactonase
K01061	E3.1.1.45	carboxymethylenebutenolidase
K01070	frmB, ESD, fghA	S-formylglutathione hydrolase
K01075	E3.1.2.23	4-hydroxybenzoyl-CoA thioesterase
K01079	serB, PSPH	phosphoserine phosphatase
K01082	cysQ, MET22, BPNT1	3'(2'), 5'-bisphosphate nucleotidase
K01085	agp	glucose-1-phosphatase
K01086	fbp-SEBP	fructose-1,6-bisphosphatase I / sedoheptulose-1,7-bisphosphatase
K01100	E3.1.3.37	sedoheptulose-bisphosphatase
K01101	E3.1.3.41	4-nitrophenyl phosphatase
K01426	E3.5.1.4, amiE	amidase
K01427	URE	urease
K01428	ureC	urease subunit alpha
K01429	ureB	urease subunit beta
K01430	ureA	urease subunit gamma
K01439	dapE	succinyl-diaminopimelate desuccinylase
K01453	nylB	6-aminohexanoate-oligomer exohydrolase
K01457	atzF	allophanate hydrolase
K01466	allB	allantoinase
K01471	nylA	6-aminohexanoate-cyclic-dimer hydrolase
K01477	alc, ALLC	allantoicase
K01491	folD	methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase
K01499	mch	methenyltetrahydromethanopterin cyclohydrolase
K01501	E3.5.5.1	nitrilase
K01502	E3.5.5.7	aliphatic nitrilase
K01506	davA	5-aminopentanamidase
K01512	acyP	acylphosphatase
K01555	FAH, fahA	fumarylacetoacetase
K01557	FAHD1	acylpyruvate hydrolase
K01560	E3.8.1.2	2-haloacid dehalogenase
K01561	dehH	haloacetate dehalogenase
K01563	dhaA	haloalkane dehalogenase
K01576	mdlC	benzoylformate decarboxylase
K01580	E4.1.1.15, gadB, gadA, GAD	glutamate decarboxylase
K01582	E4.1.1.18, ldcC, cadA	lysine decarboxylase
K01586	lysA	diaminopimelate decarboxylase
K01595	ppc	phosphoenolpyruvate carboxylase
K01596	E4.1.1.32, pckA, PCK	phosphoenolpyruvate carboxykinase (GTP)
K01601	rbcL, cbbL	ribulose-bisphosphate carboxylase large chain
K01602	rbcS, cbbS	ribulose-bisphosphate carboxylase small chain
K01607	pcaC	4-carboxymuconolactone decarboxylase
K01610	E4.1.1.49, pckA	phosphoenolpyruvate carboxykinase (ATP)
K01612	bsdC	vanillate/4-hydroxybenzoate decarboxylase subunit C
K01615	gcdA	glutaconyl-CoA decarboxylase subunit alpha
K01617	dmpH, xylI, nahK	2-oxo-3-hexenedioate decarboxylase
K01620	ltaE	threonine aldolase
K01621	xfp, xpk	xylulose-5-phosphate/fructose-6-phosphate phosphoketolase
K01622	K01622	fructose 1,6-bisphosphate aldolase/phosphatase
K01623	ALDO	fructose-bisphosphate aldolase, class I
K01624	FBA, fbaA	fructose-bisphosphate aldolase, class II
K01625	eda	2-dehydro-3-deoxyphosphogluconate aldolase / (4S)-4-hydroxy-2-oxoglutarate aldolase
K01628	fucA	L-fuculose-phosphate aldolase
K01629	rhaD	rhamnulose-1-phosphate aldolase
K01637	E4.1.3.1, aceA	isocitrate lyase
K01638	aceB, glcB	malate synthase
K01647	CS, gltA	citrate synthase
K01648	ACLY	ATP citrate (pro-S)-lyase
K01655	LYS21, LYS20	homocitrate synthase
K01666	mhpE	4-hydroxy 2-oxovalerate aldolase
K01670	nmsA	naphthyl-2-methylsuccinate synthase alpha subunit
K01675	fumD	fumarate hydratase D
K01676	E4.2.1.2A, fumA, fumB	fumarate hydratase, class I
K01677	E4.2.1.2AA, fumA	fumarate hydratase subunit alpha
K01678	E4.2.1.2AB, fumB	fumarate hydratase subunit beta
K01679	E4.2.1.2B, fumC, FH	fumarate hydratase, class II
K01681	ACO, acnA	aconitate hydratase
K01682	acnB	aconitate hydratase 2 / 2-methylisocitrate dehydratase
K01684	dgoD	galactonate dehydratase
K01689	ENO, eno	enolase
K01690	edd	phosphogluconate dehydratase
K01692	paaF, echA	enoyl-CoA hydratase
K01698	hemB, ALAD	porphobilinogen synthase
K01705	LYS4	homoaconitate hydratase
K01714	dapA	4-hydroxy-tetrahydrodipicolinate synthase
K01719	hemD, UROS	uroporphyrinogen-III synthase
K01721	nthA	nitrile hydratase subunit alpha
K01733	thrC	threonine synthase
K01734	mgsA	methylglyoxal synthase
K01738	cysK	cysteine synthase
K01749	hemC, HMBS	hydroxymethylbilane synthase
K01774	fumE	fumarate hydratase E
K01778	dapF	diaminopimelate epimerase
K01781	mdlA	mandelate racemase
K01782	fadJ	3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase
K01783	rpe, RPE	ribulose-phosphate 3-epimerase
K01785	galM, GALM	aldose 1-epimerase
K01792	E5.1.3.15	glucose-6-phosphate 1-epimerase
K01799	nicE, maiA	maleate isomerase
K01800	maiA, GSTZ1	maleylacetoacetate isomerase
K01801	nagL	maleylpyruvate isomerase
K01803	TPI, tpiA	triosephosphate isomerase (TIM)
K01807	rpiA	ribose 5-phosphate isomerase A
K01808	rpiB	ribose 5-phosphate isomerase B
K01810	GPI, pgi	glucose-6-phosphate isomerase
K01813	rhaA	L-rhamnose isomerase
K01818	fucI	L-fucose/D-arabinose isomerase
K01820	rhaA	L-rhamnose isomerase / sugar isomerase
K01821	praC, xylH	4-oxalocrotonate tautomerase
K01822	E5.3.3.1	steroid Delta-isomerase
K01825	fadB	3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase / enoyl-CoA isomerase
K01826	hpaF, hpcD	5-carboxymethyl-2-hydroxymuconate isomerase
K01834	PGAM, gpmA	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase
K01835	pgm	phosphoglucomutase
K01837	BPGM	bisphosphoglycerate/phosphoglycerate mutase
K01841	pepM	phosphoenolpyruvate phosphomutase
K01845	hemL	glutamate-1-semialdehyde 2,1-aminomutase
K01846	glmS, mutS, mamA	methylaspartate mutase sigma subunit
K01847	MUT	methylmalonyl-CoA mutase
K01848	E5.4.99.2A, mcmA1	methylmalonyl-CoA mutase, N-terminal domain
K01849	E5.4.99.2B, mcmA2	methylmalonyl-CoA mutase, C-terminal domain
K01856	catB	muconate cycloisomerase
K01857	pcaB	3-carboxy-cis,cis-muconate cycloisomerase
K01860	E5.5.1.7	chloromuconate cycloisomerase
K01865	hab	(hydroxyamino)benzene mutase
K01885	EARS, gltX	glutamyl-tRNA synthetase
K01895	ACSS1_2, acs	acetyl-CoA synthetase
K01899	LSC1	succinyl-CoA synthetase alpha subunit
K01900	LSC2	succinyl-CoA synthetase beta subunit
K01902	sucD	succinyl-CoA synthetase alpha subunit
K01903	sucC	succinyl-CoA synthetase beta subunit
K01905	acdA	acetate---CoA ligase (ADP-forming) subunit alpha
K01912	paaK	phenylacetate-CoA ligase
K01913	AAE7, ACN1	acetate/butyrate---CoA ligase
K01915	glnA, GLUL	glutamine synthetase
K01938	fhs	formate--tetrahydrofolate ligase
K01946	ACACB	acetyl-CoA carboxylase / biotin carboxylase 2
K01948	CPS1	carbamoyl-phosphate synthase (ammonia)
K01958	PC, pyc	pyruvate carboxylase
K01959	pycA	pyruvate carboxylase subunit A
K01960	pycB	pyruvate carboxylase subunit B
K01961	accC	acetyl-CoA carboxylase, biotin carboxylase subunit
K01962	accA	acetyl-CoA carboxylase carboxyl transferase subunit alpha
K01963	accD	acetyl-CoA carboxylase carboxyl transferase subunit beta
K01964	K01964	acetyl-CoA/propionyl-CoA carboxylase
K01965	PCCA, pccA	propionyl-CoA carboxylase alpha chain
K01966	PCCB, pccB	propionyl-CoA carboxylase beta chain
K02083	allC	allantoate deiminase
K02160	accB, bccP	acetyl-CoA carboxylase biotin carboxyl carrier protein
K02203	thrH	phosphoserine / homoserine phosphotransferase
K02204	thrB2	homoserine kinase type II
K02302	cysG	uroporphyrin-III C-methyltransferase / precorrin-2 dehydrogenase / sirohydrochlorin ferrochelatase
K02303	cobA	uroporphyrin-III C-methyltransferase
K02304	MET8	precorrin-2 dehydrogenase / sirohydrochlorin ferrochelatase
K02305	norC	nitric oxide reductase subunit C
K02439	glpE	thiosulfate sulfurtransferase
K02446	glpX	fructose-1,6-bisphosphatase II
K02492	hemA	glutamyl-tRNA reductase
K02496	hemX	uroporphyrin-III C-methyltransferase
K02509	hpaH	2-oxo-hept-3-ene-1,7-dioate hydratase
K02510	hpaI, hpcH	4-hydroxy-2-oxoheptanedioate aldolase
K02554	mhpD	2-keto-4-pentenoate hydratase
K02567	napA	nitrate reductase (cytochrome)
K02568	napB	nitrate reductase (cytochrome), electron transfer subunit
K02586	nifD	nitrogenase molybdenum-iron protein alpha chain
K02588	nifH	nitrogenase iron protein NifH
K02591	nifK	nitrogenase molybdenum-iron protein beta chain
K02609	paaA	ring-1,2-phenylacetyl-CoA epoxidase subunit PaaA
K02610	paaB	ring-1,2-phenylacetyl-CoA epoxidase subunit PaaB
K02611	paaC	ring-1,2-phenylacetyl-CoA epoxidase subunit PaaC
K02612	paaD	ring-1,2-phenylacetyl-CoA epoxidase subunit PaaD
K02613	paaE	ring-1,2-phenylacetyl-CoA epoxidase subunit PaaE
K02615	paaJ	3-oxo-5,6-didehydrosuberyl-CoA/3-oxoadipyl-CoA thiolase
K02618	paaZ	oxepin-CoA hydrolase / 3-oxo-5,6-dehydrosuberyl-CoA semialdehyde dehydrogenase
K02768	fruB	fructose PTS system EIIA component
K02769	fruAb	fructose PTS system EIIB component
K02770	fruA	fructose PTS system EIIBC or EIIC component
K02821	ulaC, sgaA	ascorbate PTS system EIIA or EIIAB component
K02822	ulaB, sgaB	ascorbate PTS system EIIB component
K03077	araD, ulaF, sgaE, sgbE	L-ribulose-5-phosphate 4-epimerase
K03078	ulaD, sgaH, sgbH	3-dehydro-L-gulonate-6-phosphate decarboxylase
K03079	ulaE, sgaU, sgbU	L-ribulose-5-phosphate 3-epimerase
K03186	ubiX, bsdB, PAD1	flavin prenyltransferase
K03268	todC1, bedC1, tcbAa	benzene/toluene/chlorobenzene dioxygenase subunit alpha
K03333	choD	cholesterol oxidase
K03335	iolE	inosose dehydratase
K03336	iolD	3D-(3,5/4)-trihydroxycyclohexane-1,2-dione acylhydrolase (decyclizing)
K03337	iolB	5-deoxy-glucuronate isomerase
K03338	iolC	5-dehydro-2-deoxygluconokinase
K03339	iolJ	6-phospho-5-dehydro-2-deoxy-D-gluconate aldolase
K03379	chnB	cyclohexanone monooxygenase
K03380	E1.14.13.7	phenol 2-monooxygenase (NADPH)
K03381	catA	catechol 1,2-dioxygenase
K03382	atzB	hydroxydechloroatrazine ethylaminohydrolase
K03383	atzD	cyanuric acid amidohydrolase
K03385	nrfA	nitrite reductase (cytochrome c-552)
K03388	hdrA2	heterodisulfide reductase subunit A2
K03389	hdrB2	heterodisulfide reductase subunit B2
K03390	hdrC2	heterodisulfide reductase subunit C2
K03391	pcpB	pentachlorophenol monooxygenase
K03396	gfa	S-(hydroxymethyl)glutathione synthase
K03421	mcrC	methyl-coenzyme M reductase subunit C
K03422	mcrD	methyl-coenzyme M reductase subunit D
K03430	phnW	2-aminoethylphosphonate-pyruvate transaminase
K03464	catC	muconolactone D-isomerase
K03475	ulaA, sgaT	ascorbate PTS system EIIC component
K03476	ulaG	L-ascorbate 6-phosphate lactonase
K03532	torC	trimethylamine-N-oxide reductase (cytochrome c), cytochrome c-type subunit TorC
K03533	torD	TorA specific chaperone
K03737	por, nifJ	pyruvate-ferredoxin/flavodoxin oxidoreductase
K03738	aor	aldehyde:ferredoxin oxidoreductase
K03777	dld	D-lactate dehydrogenase (quinone)
K03778	ldhA	D-lactate dehydrogenase
K03841	FBP, fbp	fructose-1,6-bisphosphatase I
K03862	vanA	vanillate monooxygenase
K03863	vanB	vanillate monooxygenase ferredoxin subunit
K03894	iucA	N2-citryl-N6-acetyl-N6-hydroxylysine synthase
K03895	iucC	aerobactin synthase
K03896	iucB	acetyl CoA:N6-hydroxylysine acetyl transferase
K03897	iucD	lysine N6-hydroxylase
K04021	eutE	aldehyde dehydrogenase
K04022	eutG	alcohol dehydrogenase
K04041	fbp3	fructose-1,6-bisphosphatase III
K04072	adhE	acetaldehyde dehydrogenase / alcohol dehydrogenase
K04073	mhpF	acetaldehyde dehydrogenase
K04098	chqB	hydroxyquinol 1,2-dioxygenase
K04099	desB, galA	gallate dioxygenase
K04100	ligA	protocatechuate 4,5-dioxygenase, alpha chain
K04101	ligB	protocatechuate 4,5-dioxygenase, beta chain
K04102	pht5	4,5-dihydroxyphthalate decarboxylase
K04105	hbaA	4-hydroxybenzoate-CoA ligase
K04107	hcrC, hbaB	4-hydroxybenzoyl-CoA reductase subunit gamma
K04108	hcrA, hbaC	4-hydroxybenzoyl-CoA reductase subunit alpha
K04109	hcrB, hbaD	4-hydroxybenzoyl-CoA reductase subunit beta
K04110	badA	benzoate-CoA ligase
K04112	bcrC, badD	benzoyl-CoA reductase subunit C
K04113	bcrB, badE	benzoyl-CoA reductase subunit B
K04114	bcrA, badF	benzoyl-CoA reductase subunit A
K04115	bcrD, badG	benzoyl-CoA reductase subunit D
K04116	aliA	cyclohexanecarboxylate-CoA ligase
K04117	aliB	cyclohexanecarboxyl-CoA dehydrogenase
K04118	E1.3.1.62	pimeloyl-CoA dehydrogenase
K04480	mtaB	methanol---5-hydroxybenzimidazolylcobamide Co-methyltransferase
K04561	norB	nitric oxide reductase subunit B
K04835	mal	methylaspartate ammonia-lyase
K05275	E1.1.1.65	pyridoxine 4-dehydrogenase
K05296	E1.1.1.51	3(or 17)beta-hydroxysteroid dehydrogenase
K05298	GAPA	glyceraldehyde-3-phosphate dehydrogenase (NADP+) (phosphorylating)
