KO_ID	KO_name	KO_def
K15633	gpmI	2,3-bisphosphoglycerate-independent phosphoglycerate mutase
K15634	gpmB	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase
K15635	apgM	2,3-bisphosphoglycerate-independent phosphoglycerate mutase
K16157	mmoX	methane monooxygenase component A alpha chain
K16158	mmoY	methane monooxygenase component A beta chain
K16159	mmoZ	methane monooxygenase component A gamma chain
K16160	mmoB	methane monooxygenase regulatory protein B
K16161	mmoC	methane monooxygenase component C
K16162	mmoD	methane monooxygenase component D
K16176	mtmB	methylamine---corrinoid protein Co-methyltransferase
K16177	mtmC	monomethylamine corrinoid protein
K16178	mtbB	dimethylamine---corrinoid protein Co-methyltransferase
K16179	mtbC	dimethylamine corrinoid protein
K16254	mxaJ	mxaJ protein
K16255	mxaG	cytochrome c-L
K16256	mxaA	mxaA protein
K16257	mxaC	mxaC protein
K16258	mxaK	mxaK protein
K16259	mxaL	mxaL protein
K16260	mxaD	mxaD protein
K16305	K16305	fructose-bisphosphate aldolase / 6-deoxy-5-ketofructose 1-phosphate synthase
K16306	K16306	fructose-bisphosphate aldolase / 2-amino-3,7-dideoxy-D-threo-hept-6-ulosonate synthase
K16370	pfkB	6-phosphofructokinase 2
K16792	aksD	methanogen homoaconitase large subunit
K16793	aksE	methanogen homoaconitase small subunit
K17066	MOX	alcohol oxidase
K17067	mdo	formaldehyde dismutase / methanol dehydrogenase
K17068	fdm	formaldehyde dismutase
K17100	DAS	dihydroxyacetone synthase
K18277	tmm	trimethylamine monooxygenase
K18933	mfnA, adc	tyrosine decarboxylase / aspartate 1-decarboxylase
K19793	mfnC	(5-formylfuran-3-yl)methyl phosphate transaminase
K21071	pfk, pfp	ATP-dependent phosphofructokinase / diphosphate-dependent phosphofructokinase
K22081	mgsA	methylamine---glutamate N-methyltransferase subunit A
K22082	mgsB	methylamine---glutamate N-methyltransferase subunit B
K22083	mgsC	methylamine---glutamate N-methyltransferase subunit C
K22084	mgdA	methylglutamate dehydrogenase subunit A
K22085	mgdB	methylglutamate dehydrogenase subunit B
K22086	mgdC	methylglutamate dehydrogenase subunit C
K22087	mgdD	methylglutamate dehydrogenase subunit D
K22305	psp	phosphoserine phosphatase
K22480	hdrA1	heterodisulfide reductase subunit A1
K22481	hdrB1	heterodisulfide reductase subunit B1
K22482	hdrC1	heterodisulfide reductase subunit C1
K22515	fdwB	formate dehydrogenase beta subunit
K22516	fdhA	formate dehydrogenase (coenzyme F420) alpha subunit
K23995	xoxF	lanthanide-dependent methanol dehydrogenase
K24182	PFK9	6-phosphofructokinase
K24393	comDE	sulfopyruvate decarboxylase
